Code	Title	TitleEN	Disease_CMAUP	Disease_Category_CMAUP
NB32.3Z	未特指的肺损伤	Injury of lung, unspecified	Injury of lung, unspecified	22.Injury, poisoning or certain other consequences of external causes
AB50	先天性听力障碍	Congenital hearing impairment	Hearing disorder	10.Diseases of the ear or mastoid process
AB57	听觉突触或神经病变	Auditory synaptopathy or neuropathy	Hearing disorder	10.Diseases of the ear or mastoid process
BA6Z	未特指的缺血性心脏病	Ischaemic heart diseases, unspecified	Ischaemic heart diseases, unspecified	11.Diseases of the circulatory system
CB00	急性呼吸窘迫综合征	Acute respiratory distress syndrome	Acute respiratory distress syndrome	12.Diseases of the respiratory system
8B2Z	未特指的脑血管病	Cerebrovascular diseases, unspecified	Cerebrovascular diseases, unspecified	08.Diseases of the nervous system
FB3Z	未特指的肌肉疾患	Disorders of muscles, unspecified	Disorders of muscles, unspecified	15.Diseases of the musculoskeletal system or connective tissue
8C21.Z	未特指的遗传性感觉或自主神经病	Hereditary sensory or autonomic neuropathy, unspecified	Hereditary sensory or autonomic neuropathy, unspecified	08.Diseases of the nervous system
VV6Y	其他特指的神经肌肉骨骼和运动相关的功能	Other specified neuromusculoskeletal and movement-related functions	Other specified neuromusculoskeletal and movement-related functions	V.Supplementary section for functioning assessment
DE2Z	未特指的消化系统疾病	Diseases of the digestive system, unspecified	Diseases of the digestive system, unspecified	13.Diseases of the digestive system
6C4A	尼古丁使用所致障碍	Disorders due to use of nicotine	Nicotine use disorder	06.Mental, behavioural or neurodevelopmental disorders
EA60	某些真菌感染性皮肤病	Certain skin disorders attributable to fungal infection	Skin fungal infection disorder	14.Diseases of the skin
CB04.31	肺泡蛋白沉着症	Pulmonary alveolar proteinosis	Pulmonary alveolar proteinosis	12.Diseases of the respiratory system
BC81.2Z	未特指的大折返房性心动过速	Macro reentrant atrial tachycardia, unspecified	Macro reentrant atrial tachycardia, unspecified	11.Diseases of the circulatory system
FC0Z	未特指的肌肉骨骼系统或结缔组织疾病	Diseases of the musculoskeletal system or connective tissue, unspecified	Diseases of the musculoskeletal system or connective tissue, unspecified	15.Diseases of the musculoskeletal system or connective tissue
5C76	高钾血症	Hyperkalaemia	Hyperkalaemia	05.Endocrine, nutritional or metabolic diseases
DC30.0	胰腺囊肿	Cyst of pancreas	Cyst of pancreas	13.Diseases of the digestive system
KA62.3	先天性巨细胞病毒感染	Congenital cytomegalovirus infection	Congenital cytomegalovirus infection	19.Certain conditions originating in the perinatal period
BD55	颅内或颅外动脉无症状狭窄	Asymptomatic stenosis of intracranial or extracranial artery	Asymptomatic stenosis of intracranial or extracranial artery	11.Diseases of the circulatory system
8C0Z	未特指的多神经病变	Polyneuropathy, unspecified	Polyneuropathy, unspecified	08.Diseases of the nervous system
FB55.1	肱骨外上髁炎	Lateral epicondylitis of elbow	Lateral epicondylitis of elbow	15.Diseases of the musculoskeletal system or connective tissue
2B90	结肠恶性肿瘤	Malignant neoplasms of colon	Malignant neoplasms of colon	02.Neoplasms
GA30.0	绝经期	Menopause	Menopause	16.Diseases of the genitourinary system
EE00	多汗症	Hyperhidrosis	Hyperhidrosis	14.Diseases of the skin
8A00	帕金森综合征	Parkinsonism	Neurobehavioral disorder	08.Diseases of the nervous system
8A0Z	未特指的运动障碍	Movement disorders, unspecified	Neurobehavioral disorder	08.Diseases of the nervous system
GB40	肾炎综合征	Nephritic syndrome	Nephritic syndrome	16.Diseases of the genitourinary system
EA91	扁平苔藓	Lichen planus	Lichen planus	14.Diseases of the skin
CB41	呼吸衰竭	Respiratory failure	Respiratory failure	12.Diseases of the respiratory system
XH1A50	急性早幼粒细胞白血病，t(15;17)(q22;q11-12)	Acute promyelocytic leukaemia, t(15;17)(q22;q11-12)	Acute promyelocytic leukaemia	X.Extension Codes
XH46F1	透明细胞肾细胞癌，NOS	Clear cell renal cell carcinoma, NOS	Clear cell renal cell carcinoma, NOS	X.Extension Codes
2C76.43	子宫癌肉瘤	Carcinosarcoma of uterus	Carcinosarcoma of uterus	02.Neoplasms
DA95	乳糜泻	Coeliac disease	Coeliac disease	13.Diseases of the digestive system
2C73.4	卵巢交界恶性的浆液性囊腺瘤	Serous cystadenoma, borderline malignancy of ovary	Serous cystadenoma,borderline malignancy of ovary	02.Neoplasms
XH3854	嗜铬细胞瘤，NOS	Pheochromocytoma, NOS	Pheochromocytoma	X.Extension Codes
2A3Z	未特指的骨髓增生异常综合征	Myelodysplastic syndromes, unspecified	Myelodysplastic syndromes, unspecified	02.Neoplasms
DD7Z	未特指的炎性肠病	Inflammatory bowel diseases, unspecified	Inflammatory bowel diseases, unspecified	13.Diseases of the digestive system
1D48	寨卡病毒病	Zika virus disease	Zika virus disease	01.Certain infectious or parasitic diseases
FA0Z	未特指的骨关节炎	Osteoarthritis, unspecified	Osteoarthritis, unspecified	15.Diseases of the musculoskeletal system or connective tissue
1D2Z	登革热，未特指的	Dengue fever, unspecified	Dengue fever, unspecified	01.Certain infectious or parasitic diseases
2C15	胆道远端胆管恶性肿瘤	Malignant neoplasms of biliary tract, distal bile duct	Malignant neoplasms of biliary tract, distal bile duct	02.Neoplasms
2C12.01	肝母细胞瘤	Hepatoblastoma	Hepatoblastoma	02.Neoplasms
1F54	利什曼病	Leishmaniasis	Leishmaniasis	01.Certain infectious or parasitic diseases
2B72.0	胃腺癌	Adenocarcinoma of stomach	Adenocarcinoma of stomach	02.Neoplasms
2D60.0	头面或颈部淋巴结转移性恶性肿瘤	Malignant neoplasm metastasis in lymph nodes of head, face or neck	Malignant neoplasm metastasis in lymph nodes of head, face or neck	02.Neoplasms
2A81	弥漫大B细胞淋巴瘤	Diffuse large B-cell lymphomas	Diffuse large B-cell lymphomas	02.Neoplasms
8C71.0	强直性肌营养不良	Myotonic dystrophy	Myotonic dystrophy	08.Diseases of the nervous system
2C90.Y	其他特指的肾（除外肾盂）恶性肿瘤	Other specified malignant neoplasms of kidney, except renal pelvis	Other specified malignant neoplasms of kidney, except renal pelvis	02.Neoplasms
2C94	膀胱恶性肿瘤	Malignant neoplasms of bladder	Malignant neoplasms of bladder	02.Neoplasms
2C25.2	支气管或肺鳞状细胞癌	Squamous cell carcinoma of bronchus or lung	Squamous cell carcinoma of bronchus or lung	02.Neoplasms
1D46	西尼罗河病毒感染	West Nile virus infection	West Nile virus infection	01.Certain infectious or parasitic diseases
2C10.0	胰腺腺癌	Adenocarcinoma of pancreas	Adenocarcinoma of pancreas	02.Neoplasms
2C26.0	胸膜间皮瘤	Mesothelioma of pleura	Mesothelioma of pleura	02.Neoplasms
LA88.2	法洛四联症	Tetralogy of Fallot	Tetralogy of Fallot	20.Developmental anomalies
2B90.Y	其他特指的结肠恶性肿瘤	Other specified malignant neoplasms of colon	Other specified malignant neoplasms ofcolon	02.Neoplasms
2C30	皮肤黑色素瘤	Melanoma of skin	Melanoma of skin	02.Neoplasms
CA40.05	铜绿假单胞菌引起的肺炎	Pneumonia due to Pseudomonas aeruginosa	Pneumonia due to Pseudomonasaeruginosa	12.Diseases of the respiratory system
2C12.02	肝细胞癌	Hepatocellular carcinoma of liver	Hepatocellular carcinoma of liver	02.Neoplasms
2C25.Y	其他特指的支气管或肺恶性肿瘤	Other specified malignant neoplasms of bronchus or lung	Other specified malignant neoplasms of bronchus or lung	02.Neoplasms
GA10.B4	浅表性卵巢子宫内膜异位症	Superficial ovarian endometriosis	Superficial ovarian endometriosis	16.Diseases of the genitourinary system
2C94.2	膀胱尿路上皮癌	Urothelial carcinoma of bladder	Urothelial carcinoma of bladder	02.Neoplasms
1D82	巨细胞病毒病	Cytomegaloviral disease	Cytomegaloviral disease	01.Certain infectious or parasitic diseases
CA0A	慢性鼻窦炎	Chronic rhinosinusitis	Chronic rhinosinusitis	12.Diseases of the respiratory system
4A40.0	系统性红斑狼疮	Systemic lupus erythematosus	Systemic lupus erythematosus	04.Diseases of the immune system
2D10.Z	未特指的甲状腺恶性肿瘤	Malignant neoplasms of thyroid gland, unspecified	Malignant neoplasms of thyroid gland, unspecified	02.Neoplasms
2C25.0	支气管或肺腺癌	Adenocarcinoma of bronchus or lung	Adenocarcinoma of bronchus or lung	02.Neoplasms
2C76.Z	未特指的子宫体恶性肿瘤	Malignant neoplasms of corpus uteri, unspecified	Malignant neoplasms of corpus uteri, unspecified	02.Neoplasms
1D40	基孔肯雅病毒性疾病	Chikungunya virus disease	Chikungunya virus disease	01.Certain infectious or parasitic diseases
5A80.1	多囊卵巢综合征	Polycystic ovary syndrome	Polycystic ovary syndrome	05.Endocrine, nutritional or metabolic diseases
8A00.0	帕金森病	Parkinson disease	Parkinson disease	08.Diseases of the nervous system
BC43.0	扩张型心肌病	Dilated cardiomyopathy	Dilated cardiomyopathy	11.Diseases of the circulatory system
2C27	胸腺恶性肿瘤	Malignant neoplasms of thymus	Malignant neoplasms of thymus	02.Neoplasms
2C61	乳腺侵袭性癌	Invasive carcinoma of breast	Invasive carcinoma of breast	02.Neoplasms
BD1Z	未特指的心力衰竭	Heart failure, unspecified	Heart failure, unspecified	11.Diseases of the circulatory system
1F4Z	未特指的疟疾	Malaria, unspecified	Malaria, unspecified	01.Certain infectious or parasitic diseases
1C62	人类免疫缺陷病毒病未提及是否合并结核病或疟疾	Human immunodeficiency virus disease without mention of tuberculosis or malaria	Human immunodeficiency virus disease without mention of tuberculosis or malaria	01.Certain infectious or parasitic diseases
2A00.00	脑胶质母细胞瘤	Glioblastoma of brain	Glioblastoma of brain	02.Neoplasms
XH6153	肾细胞癌，嫌色细胞型	Renal cell carcinoma, chromophobe type	Renal cell carcinoma, chromophobe type	X.Extension Codes
2C80.2	睾丸生殖细胞肿瘤	Germ cell tumour of testis	Germ cell tumour of testis	02.Neoplasms
8C10.0	腕管综合征	Carpal tunnel syndrome	Carpal tunnel syndrome	08.Diseases of the nervous system
1D60.01	埃博拉病毒病	Ebola virus disease	Ebola virus disease	01.Certain infectious or parasitic diseases
2D11	肾上腺恶性肿瘤	Malignant neoplasms of adrenal gland	Malignant neoplasms of adrenal gland	02.Neoplasms
1C1G	莱姆病	Lyme borreliosis	Lyme borreliosis	01.Certain infectious or parasitic diseases
2A00.0	脑胶质瘤	Gliomas of brain	Gliomas of brain	02.Neoplasms
BD70.Z	未特指的浅表血栓性静脉炎	Superficial thrombophlebitis, unspecified	Superficial thrombophlebitis, unspecified	11.Diseases of the circulatory system
6B00	广泛性焦虑障碍	Generalised anxiety disorder	Generalized Anxiety Disorder	06.Mental, behavioural or neurodevelopmental disorders
7A00	慢性失眠症	Chronic insomnia	Chronic insomnia	07.Sleep-wake disorders
8A20	阿尔茨海默病	Alzheimer disease	Neurodegenerative disorder	08.Diseases of the nervous system
8A23	额颞叶变性	Frontotemporal lobar degeneration	Neurodegenerative disorder	08.Diseases of the nervous system
3B14	其他遗传性凝血因子缺乏伴出血倾向	Other inherited coagulation factor deficiency with bleeding tendency	Inherited coagulation factor deficiency	03.Diseases of the blood or blood-forming organs
EH90	压力性溃疡	Pressure ulceration	Pressure ulceration	14.Diseases of the skin
2C60	乳腺癌，特指类型	Carcinoma of breast, specialised type	Advanced/metastatic breast cancer	02.Neoplasms
4A40	红斑狼疮	Lupus erythematosus	Autoimmune disease	04.Diseases of the immune system
4A45	抗磷脂综合征	Antiphospholipid syndrome	Autoimmune disease	04.Diseases of the immune system
5C57	过氧化物酶体病	Peroxisomal diseases	Peroxisomal disease	05.Endocrine, nutritional or metabolic diseases
PK97	与损伤或伤害有关的眼科装置、植入物或移植物	Ophthalmic devices, implants or grafts associated with injury or harm	Ophthalmic devices/implants/grafts injury	23.External causes of morbidity or mortality
5C52	先天性脂质代谢缺陷	Inborn errors of lipid metabolism	Synthesis disorder	05.Endocrine, nutritional or metabolic diseases
5C59	先天性神经递质代谢缺陷	Inborn errors of neurotransmitter metabolism	Synthesis disorder	05.Endocrine, nutritional or metabolic diseases
XH9035	非典型增生痣	Dysplastic naevus	Dysplastic naevus	X.Extension Codes
DB96.2	原发性硬化性胆管炎	Primary sclerosing cholangitis	Primary sclerosing cholangitis	13.Diseases of the digestive system
EK71	皮赘或皮肤息肉	Skin tags or polyps	Skin tag/polyp	14.Diseases of the skin
8C71	肌强直性疾患	Myotonic disorders	Myotonic disorder	08.Diseases of the nervous system
6A60	双相I型障碍	Bipolar type I disorder	Mood disorder	06.Mental, behavioural or neurodevelopmental disorders
2B01	蕈样肉芽肿病	Mycosis fungoides	Mycosis fungoides	02.Neoplasms
5A75	肾上腺髓质功能亢进	Adrenomedullary hyperfunction	Adrenomedullary hyperfunction	05.Endocrine, nutritional or metabolic diseases
5C51	先天性碳水化合物代谢缺陷	Inborn errors of carbohydrate metabolism	Inborn carbohydrate metabolism error	05.Endocrine, nutritional or metabolic diseases
4B24	移植物抗宿主病	Graft-versus-host disease	Graft-versus-host disease	04.Diseases of the immune system
2B52	原发部位尤文氏肉瘤	Ewing sarcoma, primary site	Ewing sarcoma	02.Neoplasms
XH8HN3	Sezary综合征	Sezary syndrome	Sezary syndrome	X.Extension Codes
EB43	获得性大疱性表皮松解症	Epidermolysis bullosa acquisita	Epidermolysis bullosa acquisita	14.Diseases of the skin
2B3Z	未特指的造血或淋巴组织肿瘤	Neoplasms of haematopoietic or lymphoid tissues, unspecified	Neoplasms of haematopoietic or lymphoid tissues, unspecified	02.Neoplasms
CB03.4	特发性肺纤维化	Idiopathic pulmonary fibrosis	Idiopathic pulmonary fibrosis	12.Diseases of the respiratory system
9A78.50	圆锥角膜	Keratoconus	Keratoconus	09.Diseases of the visual system
5C56	溶酶体病	Lysosomal diseases	Lysosomal disease	05.Endocrine, nutritional or metabolic diseases
6B60	分离性神经症状障碍	Dissociative neurological symptom disorder	Dissociative neurological symptom disorder	06.Mental, behavioural or neurodevelopmental disorders
6B20	强迫症	Obsessive-compulsive disorder	Obsessive-compulsive disorder	06.Mental, behavioural or neurodevelopmental disorders
6E20	与妊娠、分娩或产褥期相关的精神或行为障碍，不伴精神病性症状	Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms	Mental/behavioural/neurodevelopmental disorder	06.Mental, behavioural or neurodevelopmental disorders
6E8Z	未特指的精神、行为或神经发育障碍	Mental, behavioural or neurodevelopmental disorders, unspecified	Mental/behavioural/neurodevelopmental disorder	06.Mental, behavioural or neurodevelopmental disorders
ME65	未特指病因的皮肤感觉异常	Disturbances of skin sensation of unspecified aetiology	Skin sensation disturbance	21.Symptoms, signs or clinical findings, not elsewhere classified
2D00	结膜恶性肿瘤	Malignant neoplasm of conjunctiva	Ocular cancer	02.Neoplasms
2D07	虹膜恶性肿瘤	Malignant neoplasm of iris	Ocular cancer	02.Neoplasms
6A60	双相I型障碍	Bipolar type I disorder	Bipolar disorder	06.Mental, behavioural or neurodevelopmental disorders
5A10	1型糖尿病	Type 1 diabetes mellitus	Type-1/2 diabete	05.Endocrine, nutritional or metabolic diseases
5A11	2型糖尿病	Type 2 diabetes mellitus	Type-1/2 diabete	05.Endocrine, nutritional or metabolic diseases
5C5A	α-1-抗胰蛋白酶缺乏	Alpha-1-antitrypsin deficiency	Alpha-1-antitrypsin deficiency	05.Endocrine, nutritional or metabolic diseases
1B10	呼吸系统结核	Tuberculosis of the respiratory system	HIV-infected patients with tuberculosis	01.Certain infectious or parasitic diseases
1B14	潜伏性结核	Latent tuberculosis	HIV-infected patients with tuberculosis	01.Certain infectious or parasitic diseases
5C80.0	高胆固醇血症	Hypercholesterolaemia	Hypercholesterolaemia	05.Endocrine, nutritional or metabolic diseases
ME64.4	潮红	Flushing	Flushing	21.Symptoms, signs or clinical findings, not elsewhere classified
LA8Z	未特指的心脏及大血管的结构发育异常	Structural developmental anomaly of heart or great vessels, unspecified	Structural developmental anomaly of heart or great vessels, unspecified	20.Developmental anomalies
1A40.Z	未特指感染性病原体的感染性胃肠炎或结肠炎	Infectious gastroenteritis or colitis without specification of infectious agent	Infectious gastroenteritis or colitis without specification of infectious agent	01.Certain infectious or parasitic diseases
2A00	脑原发性肿瘤	Primary neoplasms of brain	Primary neoplasms of brain	02.Neoplasms
BB70	主动脉瓣狭窄	Aortic valve stenosis	Aortic valve stenosis	11.Diseases of the circulatory system
9B74	视网膜血管阻塞	Retinal vascular occlusions	Retinal vascular occlusion	09.Diseases of the visual system
6A21	分裂情感障碍	Schizoaffective disorder	Schizoaffective disorder	06.Mental, behavioural or neurodevelopmental disorders
5C80.2	混合性高脂血症	Mixed hyperlipidaemia	Mixed hyperlipidaemia	05.Endocrine, nutritional or metabolic diseases
DA08.0	龋病	Dental caries	Dental caries	13.Diseases of the digestive system
3A51	镰状细胞疾患或其他血红蛋白病	Sickle cell disorders or other haemoglobinopathies	Sickle-cell disorder	03.Diseases of the blood or blood-forming organs
BD4Z	未特指的慢性动脉阻塞性疾病	Chronic arterial occlusive disease, unspecified	Chronic arterial occlusive disease, unspecified	11.Diseases of the circulatory system
BA41	急性心肌梗死	Acute myocardial infarction	Acute myocardial infarction	11.Diseases of the circulatory system
2C25.1	支气管或肺小细胞癌	Small cell carcinoma of bronchus or lung	Small cell carcinoma of bronchus or lung	02.Neoplasms
XH0GA1	横纹肌肉瘤，NOS	Rhabdomyosarcoma, NOS	Rhabdomyosarcoma, NOS	X.Extension Codes
1B10	呼吸系统结核	Tuberculosis of the respiratory system	Tuberculosis of the respiratory system	01.Certain infectious or parasitic diseases
JA60.0	轻度妊娠剧吐	Mild hyperemesis gravidarum	Mild hyperemesis gravidarum	18.Pregnancy, childbirth or the puerperium
AB37	噪声对内耳的影响	Noise effects on inner ear	Noise effects on inner ear	10.Diseases of the ear or mastoid process
MD81	腹部或盆腔痛	Abdominal or pelvic pain	Abdominal pelvic pain	21.Symptoms, signs or clinical findings, not elsewhere classified
6A2Z	精神分裂症或其他原发性精神病性障碍，未特指的	Schizophrenia or other primary psychotic disorders, unspecified	Schizophrenia or other primary psychotic disorders, unspecified	06.Mental, behavioural or neurodevelopmental disorders
XH1951	皮肤T细胞淋巴瘤NOS	Cutaneous T-cell lymphoma, NOS	Cutaneous T-cell lymphoma, NOS	X.Extension Codes
1F40	恶性疟	Malaria due to Plasmodium falciparum	Malaria	01.Certain infectious or parasitic diseases
1F45	疟疾，无寄生虫学证实	Malaria without parasitological confirmation	Malaria	01.Certain infectious or parasitic diseases
6B40	创伤后应激障碍	Post traumatic stress disorder	Post-traumatic stress disorder	06.Mental, behavioural or neurodevelopmental disorders
DA0C	牙周病	Periodontal disease	Periodontal disease	13.Diseases of the digestive system
DB94.1	酒精性肝炎	Alcoholic hepatitis	Alcoholic hepatitis	13.Diseases of the digestive system
2C62	炎性乳腺癌	Inflammatory carcinoma of breast	Inflammatory carcinoma of breast	02.Neoplasms
2C30.Z	未特指的皮肤黑色素瘤	Melanoma of skin, unspecified	Melanoma of skin, unspecified	02.Neoplasms
BD40.Z	未特指的动脉粥样硬化性慢性动脉闭塞性疾病	Atherosclerotic chronic arterial occlusive disease, unspecified	Atherosclerotic chronic arterial occlusive disease, unspecified	11.Diseases of the circulatory system
5C61.Y	其他特指的碳水化合物吸收或转运障碍	Other specified disorders of carbohydrate absorption or transport	Other specified disorders of carbohydrate absorption or transport	05.Endocrine, nutritional or metabolic diseases
XE03F	闪耀或闪光	Flare or flash	Flare or flash	X.Extension Codes
5A22.1	糖尿病乳酸酸中毒	Diabetic lactic acidosis	Diabetic lactic acidosis	05.Endocrine, nutritional or metabolic diseases
8A01.10	亨廷顿病	Huntington disease	Huntington disease	08.Diseases of the nervous system
5C50.A0	精氨琥珀酸尿症	Argininosuccinic aciduria	Argininosuccinic aciduria	05.Endocrine, nutritional or metabolic diseases
XN8LD	人类免疫缺陷病毒1型	Human immunodeficiency virus type 1	Human immunodeficiency virus type 1	X.Extension Codes
7A60	睡眠-觉醒时相延迟障碍	Delayed sleep-wake phase disorder	Circadian rhythm sleep disorder	07.Sleep-wake disorders
7A65	时差型睡眠-觉醒节律障碍	Circadian rhythm sleep-wake disorder, jet lag type	Circadian rhythm sleep disorder	07.Sleep-wake disorders
MB21.Z	未特指的涉及认知的症状和体征	Symptoms, signs or clinical findings involving cognition, unspecified	Symptoms and signs involving cognition, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
XH1511	室管膜瘤，NOS	Ependymoma, NOS	Ependymoma, NOS	X.Extension Codes
XH1AZ2	颅咽管瘤	Craniopharyngioma	Craniopharyngioma	X.Extension Codes
DC10.02	胆管梗阻	Obstruction of bile duct	Obstruction of bile duct	13.Diseases of the digestive system
ED60.1	黄褐斑	Melasma	Melasma	14.Diseases of the skin
2C73.0	卵巢癌	Carcinomas of ovary	Carcinomas of ovary	02.Neoplasms
BA4Z	未特指的急性缺血性心脏病	Acute ischaemic heart disease, unspecified	Acute ischaemic heart disease, unspecified	11.Diseases of the circulatory system
5C51.40	半乳糖-1-磷酸尿苷酰转移酶缺乏	Galactose-1-phosphate uridyltransferase deficiency	Galactose-1-phosphate uridyltransferase deficiency	05.Endocrine, nutritional or metabolic diseases
DA01.1	口腔黏膜非感染性糜烂或溃疡性疾患	Noninfectious erosive or ulcerative disorders of oral mucosa	Noninfectious erosive or ulcerative disorders of oral mucosa	13.Diseases of the digestive system
DA0C.Y	其他特指的牙周病	Other specified periodontal disease	Other specified periodontal disease	13.Diseases of the digestive system
CB40	某些呼吸系统疾病	Certain diseases of the respiratory system	Respiratory system disease	12.Diseases of the respiratory system
CB7Z	未特指的呼吸系统疾病	Diseases of the respiratory system, unspecified	Respiratory system disease	12.Diseases of the respiratory system
ND51	脊柱或躯干的其他损伤，水平未特指	Other injuries of spine or trunk, level unspecified	Spine/trunk injury	22.Injury, poisoning or certain other consequences of external causes
AA00	外耳脓肿	Abscess of external ear	Otitis externa	10.Diseases of the ear or mastoid process
AA13	慢性外耳炎	Chronic otitis externa	Otitis externa	10.Diseases of the ear or mastoid process
5B55	维生素A缺乏	Vitamin A deficiency	Vitamin deficiency	05.Endocrine, nutritional or metabolic diseases
5B5F	维生素B12缺乏	Vitamin B12 deficiency	Vitamin deficiency	05.Endocrine, nutritional or metabolic diseases
5A71	肾上腺性征疾患	Adrenogenital disorders	Adrenogenital disorder	05.Endocrine, nutritional or metabolic diseases
5A71.01	先天性肾上腺增生	Congenital adrenal hyperplasia	Congenital adrenal hyperplasia	05.Endocrine, nutritional or metabolic diseases
KB29.0	起源于围生期的支气管肺发育不良	Bronchopulmonary dysplasia originating in the perinatal period	Bronchopulmonary dysplasia originating in the perinatal period	19.Certain conditions originating in the perinatal period
2A60	急性髓系白血病和相关前体细胞肿瘤	Acute myeloid leukaemias and related precursor neoplasms	Leukaemia	02.Neoplasms
2B33	恶性造血组织肿瘤，未进一步特指	Malignant haematopoietic neoplasms without further specification	Leukaemia	02.Neoplasms
XH5J37	前体淋巴细胞白血病，NOS	Precursor cell lymphoblastic leukaemia, NOS	Precursor cell lymphoblastic leukaemia, NOS	X.Extension Codes
GB57	肾钙质沉着症	Nephrocalcinosis	Nephrocalcinosis	16.Diseases of the genitourinary system
5A74	肾上腺皮质功能减退症	Adrenocortical insufficiency	Adrenocortical insufficiency	05.Endocrine, nutritional or metabolic diseases
6C43	阿片类物质使用所致障碍	Disorders due to use of opioids	Opioid use disorder	06.Mental, behavioural or neurodevelopmental disorders
2A35	难治性贫血伴原始细胞过多	Refractory anaemia with excess of blasts	Refractory anaemia with excess of blasts	02.Neoplasms
2A60.35	急性红白血病	Acute erythroid leukaemia	Acute erythroid leukaemia	02.Neoplasms
2A60.36	急性原始巨核细胞白血病	Acute megakaryoblastic leukaemia	Acute megakaryoblastic leukaemia	02.Neoplasms
2A70	前体B淋巴母细胞肿瘤	Precursor B-lymphoblastic neoplasms	Precursor B-lymphoblastic neoplasm	02.Neoplasms
DB60	痔	Haemorrhoids	Haemorrhoids	13.Diseases of the digestive system
8A81	紧张型头痛	Tension-type headache	Tension-type headache	08.Diseases of the nervous system
5A74.0	获得性肾上腺皮质功能减退症	Acquired adrenocortical insufficiency	Acquired adrenocortical insufficiency	05.Endocrine, nutritional or metabolic diseases
2A61	系列不明急性白血病	Acute leukaemias of ambiguous lineage	Acute leukaemias of ambiguous lineage	02.Neoplasms
CA40.1	病毒性肺炎	Viral pneumonia	Viral pneumonia	12.Diseases of the respiratory system
GB6Z	未特指的肾衰竭	Kidney failure, unspecified	Kidney failure, unspecified	16.Diseases of the genitourinary system
ED70.2	斑秃	Alopecia areata	Alopecia areata	14.Diseases of the skin
DC11	胆石症	Cholelithiasis	Cholelithiasis	13.Diseases of the digestive system
XH1LC0	间变性大细胞淋巴瘤，NOS	Anaplastic large cell lymphoma, NOS	Anaplastic large cell lymphoma, NOS	X.Extension Codes
2A30	难治性贫血	Refractory anaemia	Refractory anaemia	02.Neoplasms
EA8Z	未特指的皮炎或湿疹	Dermatitis or eczema, unspecified	Dermatitis or eczema, unspecified	14.Diseases of the skin
MB21.0	年龄相关性认知减退	Age-associated cognitive decline	Age-associated cognitive decline	21.Symptoms, signs or clinical findings, not elsewhere classified
5A44	胰岛素抵抗综合征	Insulin-resistance syndromes	Insulin-resistance syndromes	05.Endocrine, nutritional or metabolic diseases
XH78Y4	急性粒-单核细胞白血病	Acute myelomonocytic leukaemia	Acute myelomonocytic leukaemia	X.Extension Codes
XH9NE2	急性单核细胞白血病	Acute monocytic leukaemia	Acute monocytic leukaemia	X.Extension Codes
2A21.00	肥大细胞白血病	Mast cell leukaemia	Mast cell leukaemia	02.Neoplasms
XH4KH2	肾上腺皮质癌	Adrenal cortical carcinoma	Adrenal cortical carcinoma	X.Extension Codes
6D10.Z	未特指严重度的人格障碍	Personality disorder, severity unspecified	Personality disorder, severity unspecified	06.Mental, behavioural or neurodevelopmental disorders
4A01.23	原发性噬血细胞性淋巴组织细胞增多症	Primary haemophagocytic lymphohistiocytosis	Primary haemophagocytic lymphohistiocytosis	04.Diseases of the immune system
MG30.01	慢性广泛疼痛	Chronic widespread pain	Chronic widespread pain	21.Symptoms, signs or clinical findings, not elsewhere classified
2A90.5	成人T细胞淋巴瘤或白血病，人类嗜T细胞病毒病毒1型相关性	Adult T-cell lymphoma or leukaemia, human T-cell lymphotropic virus type 1-associated	Adult T-cell lymphoma or leukaemia, human T-cell lymphotropic virus type 1-associated	02.Neoplasms
DA02.2	口腔黏膜下纤维化	Oral submucous fibrosis	Oral submucous fibrosis	13.Diseases of the digestive system
XH8NN2	伯基特样淋巴瘤伴11q畸变	Burkitt-like lymphoma with 11q aberration	Burkitt-like lymphoma with 11q aberration	X.Extension Codes
6B0Z	未特指的焦虑或恐惧相关性障碍	Anxiety or fear-related disorders, unspecified	Anxiety or fear-related disorders, unspecified	06.Mental, behavioural or neurodevelopmental disorders
5A60.1	高催乳素血症	Hyperprolactinaemia	Hyperprolactinaemia	05.Endocrine, nutritional or metabolic diseases
QA79	药物或物质的相互作用，无损伤或伤害	Drug or substance interactions without injury or harm	Drug or substance interactions without injury or harm	24.Factors influencing health status or contact with health services
8B1Z	未特指的脑缺血	Cerebral ischaemia, unspecified	Cerebral ischaemia	08.Diseases of the nervous system
2C30	皮肤黑色素瘤	Melanoma of skin	Skin cancer	02.Neoplasms
8A80	偏头痛	Migraine	Migraine	08.Diseases of the nervous system
EA00	未知或未特指病原体引起的病毒疹	Viral exanthem due to unknown or unspecified agent	Skin disease	14.Diseases of the skin
EM0Z	性质未特指的皮肤疾病	Skin disease of unspecified nature	Skin disease	14.Diseases of the skin
6A25	原发性精神病性障碍的症状表现	Symptomatic manifestations of primary psychotic disorders	Primary psychotic disorder manifestation	06.Mental, behavioural or neurodevelopmental disorders
GA02	阴道炎	Vaginitis	Vaginitis	16.Diseases of the genitourinary system
5C73	酸中毒	Acidosis	Acidosis	05.Endocrine, nutritional or metabolic diseases
9B76	退行性高度近视	Degenerative high myopia	Degenerative high myopia	09.Diseases of the visual system
